,0,1,2,3,4,5,6
0,No.,State or union territory,Administrative capitals,Legislative capitals,Judiciary capitals,Year capital was established,The Former capital
1,1,Andaman and Nicobar Islands,Port Blair,Port Blair,Kolkata,1955,Calcutta (1945–1955)
2,2,Andhra Pradesh,Hyderabad (de jure to 2024) Amaravati (de facto from 2017)[3] [4] [a],Amaravati [3],Hyderabad,1956 2017,Kurnool (1953-1956)
3,3,Arunachal Pradesh,Itanagar,Itanagar,Guwahati,1986,
4,4,Assam,Dispur,Guwahati,Guwahati,1975,Shillong[b] (1874–1952)
5,5,Bihar,Patna,Patna,Patna,1912,
6,6,Chandigarh,Chandigarh[c],—,Chandigarh,1966,—
7,7,Chhattisgarh,Naya Raipur[d],Raipur,Bilaspur,2000,—
8,8,Dadra and Nagar Haveli,Silvassa,—,Mumbai,1945,Mumbai (1954–1961) Panaji (1961–1987)
9,9,Daman and Diu,Daman,—,Mumbai,1987,Ahmedabad (1961–1963) Panaji (1963–1987)
10,10,National Capital Territory of Delhi,New Delhi,New Delhi,New Delhi,1931,—
11,11,Goa,Panaji[e],Porvorim,Mumbai,1961,Panaji (1961–1987)
12,12,Gujarat,Gandhinagar,Gandhinagar,Ahmedabad,1960,Ahmedabad (1960–1970)
13,13,Haryana,Chandigarh,Chandigarh,Chandigarh,1966,—
14,14,Himachal Pradesh,Shimla Dharamshala (W/2nd)[8],Shimla (Summer) Dharamsala(Winter),Shimla,1971 2017,Bilaspur (1950–1956)
15,15,Jammu and Kashmir,Srinagar (Summer) Jammu (Winter),Srinagar (Summer) Jammu (Winter),Srinagar (Summer) Jammu (Winter),1947,—
16,16,Jharkhand,Ranchi,Ranchi,Ranchi,2000,
17,17,Karnataka,Bengaluru,Bengaluru,Bengaluru,1940,(Mysore)
18,18,Kerala,Thiruvananthapuram,Thiruvananthapuram,Kochi,1956,
19,19,Lakshadweep,Kavaratti,Kavaratti,Kochi,1956,
20,20,Madhya Pradesh,Bhopal,Bhopal,Jabalpur,1956,Nagpur[f] (1861–1956)
21,21,Maharashtra,Mumbai[g] Nagpur (W/2nd)[h],Mumbai (S+B) Nagpur (W)[i],Mumbai,1818 1960,—
22,22,Manipur,Imphal,Imphal,Imphal,1947,—
23,23,Meghalaya,Shillong,Shillong,Shillong,1970,—
24,24,Mizoram,Aizawl,Aizawl,Guwahati,1972,—
25,25,Nagaland,Kohima,Kohima,Guwahati,1963,—
26,26,Odisha,Bhubaneswar,Bhubaneswar,Cuttack,1948,Cuttack (1936–1948)
27,27,Puducherry,Puducherry,Puducherry,Chennai,1954,Madras (1948–1954)
28,28,Punjab,Chandigarh,Chandigarh,l,1966,
29,29,Rajasthan,Jaipur,Jaipur,Jodhpur,1950,—
30,30,Sikkim,Gangtok[j],Gangtok,Gangtok,1890,—
31,31,Tamil Nadu,Chennai[k],Chennai,Chennai,1956,
32,32,Telangana,Hyderabad[l],Hyderabad,Hyderabad,2014,—
33,33,Tripura,Agartala,Agartala,Agartala,1956,—
34,34,Uttar Pradesh,Lucknow,Lucknow,Allahabad,1938,—
35,35,Uttarakhand,Dehradun[m],Dehradun,Nainital,2000,—
36,36,West Bengal,Kolkata,Kolkata,Kolkata,1947,
